2/11/2025, 9:56:59 AM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:63697","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/11/2025, 9:57:04 AM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:63703","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:57:04 AM | INFO | HTTP POST /start-mission 400 | DATA: {"headers":{"host":"127.0.0.1:63783","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:57:04 AM | INFO | HTTP POST /end-mission 400 | DATA: {"headers":{"host":"127.0.0.1:63785","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:57:09 AM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:63749","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:57:14 AM | INFO | HTTP GET /most-completed 400 | DATA: {"headers":{"host":"127.0.0.1:63787","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:57:34 AM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:63859","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:57:45 AM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:63893","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/11/2025, 9:57:50 AM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:63944","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:58:31 AM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:64830","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/11/2025, 9:58:36 AM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:64864","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:58:36 AM | INFO | HTTP POST /start-mission 400 | DATA: {"headers":{"host":"127.0.0.1:64900","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:58:36 AM | INFO | HTTP POST /end-mission 400 | DATA: {"headers":{"host":"127.0.0.1:64902","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:58:41 AM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:64874","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:58:46 AM | INFO | HTTP GET /most-completed 400 | DATA: {"headers":{"host":"127.0.0.1:64904","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:59:06 AM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:65001","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/11/2025, 9:59:11 AM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:65019","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 9:59:22 AM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:65073","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 10:28:12 AM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:53007","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
2/11/2025, 10:28:17 AM | INFO | HTTP GET / 200 | DATA: {"headers":{"host":"127.0.0.1:53009","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 10:28:17 AM | INFO | HTTP POST /start-mission 400 | DATA: {"headers":{"host":"127.0.0.1:53013","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 10:28:17 AM | INFO | HTTP POST /end-mission 400 | DATA: {"headers":{"host":"127.0.0.1:53015","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"2","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 10:28:22 AM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:53011","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 10:28:27 AM | INFO | HTTP GET /most-completed 400 | DATA: {"headers":{"host":"127.0.0.1:53017","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 10:28:47 AM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:53021","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"27","connection":"close"},"params":{},"query":{},"body":{"name":"item5","weight":2}}
2/11/2025, 10:28:52 AM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:53023","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/11/2025, 10:29:02 AM | INFO | HTTP GET / 400 | DATA: {"headers":{"host":"127.0.0.1:53025","accept-encoding":"gzip, deflate","connection":"close"},"params":{},"query":{},"body":{}}
2/13/2025, 2:33:37 PM | INFO | HTTP POST / 400 | DATA: {"headers":{"host":"127.0.0.1:52347","accept-encoding":"gzip, deflate","content-type":"application/json","content-length":"101","connection":"close"},"params":{},"query":{},"body":{"weightLimit":600,"questState":"resting","items":["6796460f9f51605cfbf77f43"],"missionsCompleted":0}}
